Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
Precious Achiuwa,PF-C,24,TOT,74,18,1624,235,469,.501,26,97,.268,209,372,.562,.529,69,112,.616,191,296,487,97,46,68,83,143,565,achiupr01
Bam Adebayo,C,26,MIA,71,71,2416,530,1017,.521,15,42,.357,515,975,.528,.529,292,387,.755,159,578,737,278,81,66,162,159,1367,adebaba01
Ochai Agbaji,SG,23,TOT,78,28,1641,178,433,.411,62,211,.294,116,222,.523,.483,37,56,.661,74,142,216,83,47,44,64,117,455,agbajoc01
Santi Aldama,PF,23,MEM,61,35,1618,247,568,.435,106,304,.349,141,264,.534,.528,54,87,.621,72,280,352,138,43,54,69,89,654,aldamsa01
Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,236,538,.439,131,335,.391,105,203,.517,.560,52,65,.800,35,132,167,204,64,42,76,143,655,alexani01
Grayson Allen,SG,28,PHO,75,74,2513,340,682,.499,205,445,.461,135,237,.570,.649,129,147,.878,48,247,295,227,69,45,95,157,1014,allengr01
Jarrett Allen,C,25,CLE,77,77,2442,519,819,.634,0,6,.000,519,813,.638,.634,233,314,.742,243,568,811,210,53,81,121,147,1271,allenja01
Timmy Allen,SF,24,MEM,5,0,125,6,23,.261,0,7,.000,6,16,.375,.261,1,2,.500,4,13,17,5,4,0,2,18,13,allenti01
Jose Alvarado,PG,25,NOP,56,0,1028,142,345,.412,78,207,.377,64,138,.464,.525,35,52,.673,25,103,128,117,59,15,40,89,397,alvarjo01
Kyle Anderson,PF,30,MIN,79,10,1782,199,433,.460,11,48,.229,188,385,.488,.472,97,137,.708,60,213,273,331,71,47,91,128,506,anderky01
Giannis Antetokounmpo,PF,29,MIL,73,73,2567,837,1369,.611,34,124,.274,803,1245,.645,.624,514,782,.657,196,645,841,476,87,79,250,210,2222,antetgi01
Thanasis Antetokounmpo,PF,31,MIL,34,0,155,16,30,.533,0,1,.000,16,29,.552,.533,0,2,.000,7,6,13,17,7,4,14,24,32,antetth01
Cole Anthony,PG,23,ORL,81,0,1817,332,763,.435,93,275,.338,239,488,.490,.496,180,218,.826,64,247,311,236,64,37,126,175,937,anthoco01
OG Anunoby,SF,26,TOT,50,50,1702,282,577,.489,102,267,.382,180,310,.581,.577,67,89,.753,47,161,208,107,68,36,81,119,733,anunoog01
Ryan Arcidiacono,PG,29,NYK,20,0,45,0,6,.000,0,6,.000,0,0,,.000,0,0,,0,8,8,4,2,0,2,5,0,arcidry01
Deni Avdija,SF,23,WAS,75,75,2257,406,803,.506,88,235,.374,318,568,.560,.560,202,273,.740,84,456,540,286,60,36,160,185,1102,avdijde01
Deandre Ayton,C,25,POR,55,55,1784,427,749,.570,1,10,.100,426,739,.576,.571,65,79,.823,176,433,609,90,56,42,99,109,920,aytonde01
Udoka Azubuike,C,24,PHO,16,0,113,16,23,.696,0,0,,16,23,.696,.696,3,13,.231,11,21,32,3,1,6,4,17,35,azubuud01
Ibou Badji,C,21,POR,22,1,226,14,22,.636,0,0,,14,22,.636,.636,6,12,.500,20,31,51,13,3,20,15,46,34,badjiib01
Marvin Bagley III,C,24,TOT,50,25,1053,239,408,.586,9,23,.391,230,385,.597,.597,96,126,.762,130,182,312,55,20,33,59,81,583,baglema01
Amari Bailey,PG,19,CHO,10,0,65,8,24,.333,1,8,.125,7,16,.438,.354,6,7,.857,6,3,9,7,3,0,4,2,23,baileam01
Patrick Baldwin Jr.,SF,21,WAS,38,7,493,59,155,.381,31,97,.320,28,58,.483,.481,19,28,.679,17,106,123,29,18,15,19,56,168,baldwpa01
LaMelo Ball,PG,22,CHO,22,22,711,183,423,.433,70,197,.355,113,226,.500,.515,90,104,.865,29,84,113,176,40,4,83,79,526,ballla01
Mo Bamba,C,25,PHI,57,17,740,97,198,.490,25,64,.391,72,134,.537,.553,34,50,.680,77,161,238,41,22,60,39,101,253,bambamo01
Paolo Banchero,PF,21,ORL,80,80,2799,640,1407,.455,119,351,.339,521,1056,.493,.497,405,559,.725,82,472,554,431,71,47,247,153,1804,banchpa01
Desmond Bane,SG,25,MEM,42,42,1443,360,776,.464,137,360,.381,223,416,.536,.552,140,161,.870,36,149,185,230,43,22,112,120,997,banede01
Dalano Banton,PG,24,TOT,54,9,1047,202,500,.404,59,199,.296,143,301,.475,.463,94,120,.783,41,137,178,127,33,20,77,64,557,bantoda01
Dominick Barlow,PF,20,SAS,33,1,420,56,113,.496,3,9,.333,53,104,.510,.509,29,42,.690,45,68,113,36,12,14,9,47,144,barlodo01
Harrison Barnes,PF,31,SAC,82,82,2381,347,732,.474,149,385,.387,198,347,.571,.576,157,196,.801,67,182,249,99,54,12,58,98,1000,barneha02
Scottie Barnes,SG,22,TOR,60,60,2094,447,942,.475,101,296,.341,346,646,.536,.528,196,251,.781,141,353,494,363,75,88,165,118,1191,barnesc01
RJ Barrett,SG,23,TOT,58,58,1838,436,880,.495,90,250,.360,346,630,.549,.547,208,291,.715,53,262,315,193,31,22,126,129,1170,barrerj01
Charles Bassey,C,23,SAS,19,0,205,29,40,.725,0,1,.000,29,39,.744,.725,5,6,.833,23,53,76,21,8,17,15,31,63,bassech01
Emoni Bates,SF,20,CLE,15,0,133,15,49,.306,10,33,.303,5,16,.313,.408,1,4,.250,1,13,14,10,1,2,8,5,41,batesem01
Keita Bates-Diop,SF,28,TOT,53,8,665,72,166,.434,21,69,.304,51,97,.526,.497,32,42,.762,31,79,110,38,25,22,15,35,197,bateske01
Nicolas Batum,PF,35,TOT,60,38,1529,116,256,.453,73,185,.395,43,71,.606,.596,15,21,.714,70,178,248,128,48,38,40,109,320,batumni01
Darius Bazley,PF,23,TOT,9,0,152,18,30,.600,2,8,.250,16,22,.727,.633,10,12,.833,8,20,28,7,6,7,8,3,48,bazleda01
Bradley Beal,SG,30,PHO,53,53,1767,377,735,.513,101,235,.430,276,500,.552,.582,109,134,.813,54,178,232,265,52,27,131,127,964,bealbr01
Malik Beasley,SG,27,MIL,79,77,2337,320,722,.443,224,542,.413,96,180,.533,.598,25,35,.714,41,249,290,108,59,9,54,158,889,beaslma01
MarJon Beauchamp,SF,23,MIL,48,1,608,81,166,.488,30,75,.400,51,91,.560,.578,19,28,.679,22,77,99,31,13,7,27,54,211,beaucma01
Jules Bernard,SG,24,WAS,19,0,149,29,64,.453,11,29,.379,18,35,.514,.539,5,9,.556,10,16,26,16,3,1,8,14,74,bernaju01
Dāvis Bertāns,PF,31,TOT,43,1,674,92,234,.393,76,200,.380,16,34,.471,.556,30,33,.909,9,52,61,35,26,12,18,56,290,bertada01
Patrick Beverley,PG,35,TOT,73,13,1462,158,379,.417,61,181,.337,97,198,.490,.497,74,90,.822,49,190,239,212,43,31,65,128,451,beverpa01
Saddiq Bey,SF,24,ATL,63,51,2062,290,697,.416,113,358,.316,177,339,.522,.497,170,203,.837,167,244,411,92,51,11,54,88,863,beysa01
Goga Bitadze,C,24,ORL,62,33,957,126,209,.603,2,14,.143,124,195,.636,.608,57,87,.655,109,177,286,79,32,72,44,107,311,bitadgo01
Onuralp Bitim,SG,24,CHI,23,1,268,32,84,.381,12,44,.273,20,40,.500,.452,4,5,.800,6,26,32,13,3,2,10,24,80,bitimon01
Bismack Biyombo,C,31,TOT,40,27,791,74,131,.565,0,0,,74,131,.565,.565,26,54,.481,62,147,209,53,11,37,42,89,174,biyombi01
Anthony Black,PG,20,ORL,69,33,1164,115,247,.466,37,94,.394,78,153,.510,.540,49,80,.613,33,106,139,91,35,21,56,110,316,blackan01
Leaky Black,SF,24,CHO,26,3,284,25,52,.481,9,20,.450,16,32,.500,.567,10,15,.667,9,39,48,24,8,11,6,19,69,blackle01
Buddy Boeheim,SF,24,DET,10,0,84,9,29,.310,8,25,.320,1,4,.250,.448,8,10,.800,3,7,10,3,0,1,0,5,34,boehebu01
Bogdan Bogdanović,SG,31,ATL,79,33,2401,471,1100,.428,240,641,.374,231,459,.503,.537,151,164,.921,53,219,272,247,96,26,112,179,1333,bogdabo01
Bojan Bogdanović,SF-PF,34,TOT,57,27,1478,309,681,.454,133,334,.398,176,347,.507,.551,117,149,.785,22,130,152,97,30,5,101,95,868,bogdabo02
Bol Bol,PF,24,PHO,43,0,469,93,151,.616,22,52,.423,71,99,.717,.689,15,19,.789,32,105,137,17,10,25,19,42,223,bolbo01
Marques Bolden,C,25,TOT,11,2,121,17,25,.680,0,1,.000,17,24,.708,.680,3,4,.750,10,24,34,4,3,7,3,10,37,boldema01
Devin Booker,PG,27,PHO,68,68,2447,642,1305,.492,152,418,.364,490,887,.552,.550,405,457,.886,56,252,308,472,61,28,178,206,1841,bookede01
Brandon Boston Jr.,SF,22,LAC,32,0,345,65,161,.404,14,52,.269,51,109,.468,.447,23,33,.697,19,33,52,13,11,8,24,40,167,bostobr01
Chris Boucher,PF,31,TOR,50,0,705,110,217,.507,31,94,.330,79,123,.642,.578,71,92,.772,62,145,207,23,14,24,28,68,322,bouchch01
James Bouknight,SG,23,CHO,14,0,81,18,41,.439,13,30,.433,5,11,.455,.598,1,2,.500,1,8,9,6,1,1,2,3,50,bouknja01
Jamaree Bouyea,PG,24,TOT,9,0,95,10,28,.357,1,9,.111,9,19,.474,.375,0,0,,3,16,19,11,1,0,9,10,21,bouyeja01
Malaki Branham,PG,20,SAS,75,29,1594,271,628,.432,93,268,.347,178,360,.494,.506,55,63,.873,28,120,148,156,27,8,91,94,690,branhma01
Christian Braun,SG,22,DEN,82,4,1655,222,483,.460,63,164,.384,159,319,.498,.525,93,134,.694,79,227,306,132,42,35,55,137,600,braunch01
Mikal Bridges,SF,27,BRK,82,82,2854,564,1294,.436,220,592,.372,344,702,.490,.521,258,317,.814,68,304,372,299,81,30,164,116,1606,bridgmi01
Miles Bridges,SF,25,CHO,69,67,2581,559,1210,.462,157,450,.349,402,760,.529,.527,174,211,.825,71,434,505,231,65,33,138,118,1449,bridgmi02
Oshae Brissett,SF,25,BOS,55,1,630,68,153,.444,15,55,.273,53,98,.541,.493,50,83,.602,61,99,160,44,19,8,20,54,201,brissos01
Izaiah Brockington,PG,24,NOP,1,0,3,2,5,.400,0,1,.000,2,4,.500,.400,0,0,,1,1,2,0,0,0,0,0,4,brockiz01
Malcolm Brogdon,PG,31,POR,39,25,1121,218,496,.440,82,199,.412,136,297,.458,.522,95,116,.819,28,120,148,214,27,8,60,58,613,brogdma01
Armoni Brooks,PG,25,BRK,10,0,104,15,46,.326,11,32,.344,4,14,.286,.446,1,2,.500,7,11,18,5,1,1,3,3,42,brookar01
Dillon Brooks,SF,28,HOU,72,72,2227,329,768,.428,133,370,.359,196,398,.492,.515,124,147,.844,53,193,246,119,64,10,88,241,915,brookdi01
Bruce Brown,PG-SG,27,TOT,67,44,1866,278,582,.478,53,164,.323,225,418,.538,.523,117,142,.824,53,231,284,192,59,17,86,148,726,brownbr01
Charlie Brown Jr.,SG,26,NYK,8,0,37,2,10,.200,2,7,.286,0,3,.000,.300,0,0,,1,1,2,0,0,2,2,5,6,brownch02
Greg Brown III,PF,22,DAL,6,0,40,5,11,.455,1,3,.333,4,8,.500,.500,4,9,.444,3,6,9,4,0,4,4,5,15,browngr01
Jaylen Brown,SF,27,BOS,70,70,2343,627,1256,.499,145,410,.354,482,846,.570,.557,211,300,.703,84,303,387,249,83,37,166,185,1610,brownja02
Kendall Brown,SG,20,IND,15,0,63,8,15,.533,0,2,.000,8,13,.615,.533,5,8,.625,3,2,5,5,0,0,2,9,21,brownke03
